entry_dt,exit_dt,net_ret,n_aos,forced,max_underwater,cost_basis_usdt,pnl_usdt
2024-10-25T16:00,2024-10-27T08:00,0.028764,2,0,0.0175,3020.0,86.87
2024-10-31T20:00,2024-11-01T12:00,0.028764,0,0,0.0,500.0,14.38
2024-11-05T08:00,2024-11-06T00:00,0.028764,0,0,0.0008,500.0,14.38
2024-12-10T00:00,2024-12-10T00:00,0.028764,1,0,0.0,1400.0,40.27
2024-12-10T04:00,2024-12-10T04:00,0.028764,0,0,0.0,500.0,14.38
2024-12-10T08:00,2024-12-10T20:00,0.028764,2,0,0.0179,3020.0,86.87
2024-12-19T00:00,2024-12-20T12:00,0.028764,3,0,0.053,5936.0,170.75
2025-01-07T20:00,2025-01-10T16:00,0.028764,2,0,0.0168,3020.0,86.87
2025-01-13T12:00,2025-01-13T12:00,0.028764,0,0,0.0,500.0,14.38
2025-01-19T12:00,2025-01-19T12:00,0.028764,0,0,0.0,500.0,14.38
2025-01-27T08:00,2025-01-27T12:00,0.028764,0,0,0.0,500.0,14.38
2025-02-02T20:00,2025-02-02T20:00,0.028764,2,0,0.0,3020.0,86.87
2025-02-03T00:00,2025-02-03T00:00,0.028764,5,0,0.0,20633.0,593.5
2025-02-03T04:00,2025-02-03T04:00,0.028764,1,0,0.0,1400.0,40.27
2025-02-25T08:00,2025-02-25T12:00,0.028764,0,0,0.0,500.0,14.38
2025-02-28T04:00,2025-02-28T12:00,0.028764,0,0,0.0,500.0,14.38
2025-03-04T04:00,2025-03-04T04:00,0.028764,0,0,0.0,500.0,14.38
2025-03-09T16:00,2025-03-09T20:00,0.028764,2,0,0.0,3020.0,86.87
2025-03-10T00:00,2025-03-10T08:00,0.028764,0,0,0.0,500.0,14.38
2025-03-10T20:00,2025-03-11T00:00,0.028764,2,0,0.0143,3020.0,86.87
2025-03-11T04:00,2025-03-11T04:00,0.028764,0,0,0.0,500.0,14.38
2025-04-03T16:00,2025-04-04T08:00,0.028764,2,0,0.0092,3020.0,86.87
2025-04-04T12:00,2025-04-06T16:00,0.028764,3,0,0.0175,5936.0,170.75
2025-04-06T20:00,2025-04-06T20:00,0.028764,2,0,0.0,3020.0,86.87
2025-04-07T00:00,2025-04-07T00:00,0.028764,1,0,0.0,1400.0,40.27
2025-04-07T04:00,2025-04-07T04:00,0.028764,1,0,0.0,1400.0,40.27
2025-04-07T08:00,2025-04-07T08:00,0.028764,0,0,0.0,500.0,14.38
2025-06-13T04:00,2025-06-23T12:00,0.028764,3,0,0.033,5936.0,170.75
2025-09-22T04:00,2025-09-22T04:00,0.028764,3,0,0.0,5936.0,170.75
2025-09-22T08:00,2025-10-01T16:00,0.028764,2,0,0.0296,3020.0,86.87
2025-10-11T00:00,2025-10-11T00:00,0.028764,0,0,0.0,500.0,14.38
2025-10-11T04:00,2025-10-11T04:00,0.028764,0,0,0.0,500.0,14.38
2025-10-11T08:00,2025-10-11T08:00,0.028764,0,0,0.0,500.0,14.38
2025-10-11T16:00,2025-10-12T12:00,0.028764,2,0,0.0268,3020.0,86.87
2025-11-04T00:00,2025-11-05T00:00,0.028764,3,0,0.0316,5936.0,170.75
2025-11-05T08:00,2025-11-05T16:00,0.028764,0,0,0.0,500.0,14.38
2025-11-20T20:00,2025-11-21T04:00,0.028764,3,0,0.0251,5936.0,170.75
2025-11-21T08:00,2025-11-22T20:00,0.028764,0,0,0.0105,500.0,14.38
2025-11-23T20:00,2025-11-24T16:00,0.028764,0,0,0.0013,500.0,14.38
2025-12-15T20:00,2025-12-16T08:00,0.028764,0,0,0.0,500.0,14.38
